Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
146,VK2RLJ 2 Prishr,146.8750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RLJ 2 Prishr,,VK2RLJ 2,
147,VK2RMI 2 THiHi,146.6500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMI 2 THiHi,,VK2RMI 2,
148,VK2RMM 2 McKen,147.3750,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RMM 2 McKen,,VK2RMM 2,
149,VK2RMO 2 Baldwn,146.8500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMO 2 Baldwn,,VK2RMO 2,
150,VK2RNE 2 Rumbee,146.9500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNE 2 Rumbee,,VK2RNE 2,
151,VK2RNW 2 Kaput,146.6250,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNW 2 Kaput,,VK2RNW 2,
152,VK2RRT 2 Boona,146.9000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RRT 2 Boona,,VK2RRT 2,
153,VK2RSM 2 Digits,147.0250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RSM 2 Digits,,VK2RSM 2,
154,VK2RTD 2 Kendal,146.8000,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RTD 2 Kendal,,VK2RTD 2,
155,VK2RTM 2 Mt Crawney,146.7500,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RTM 2 Mt Crawney,,VK2RTM 2,
156,VK2RWB 2 GwynH,147.2000,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RWB 2 GwynH,,VK2RWB 2,
157,VK2RWG 2 WOF,146.7500,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RWG 2 WOF,,VK2RWG 2,
158,VK2RWM 2 Warrad,147.1000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RWM 2 Warrad,,VK2RWM 2,
159,VK2RYL 2 BaldM,147.2250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RYL 2 BaldM,,VK2RYL 2,
160,VK2RZL 2 Muswel,146.8750,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RZL 2 Muswel,,VK2RZL 2,
161,VK1RBM 7 Issacs,439.9500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RBM 7 Issacs,,VK1RBM 7,
162,VK1RGI 7 Ginini,438.0500,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK1RGI 7 Ginini,,VK1RGI 7,
163,VK2RAB 7 MtCraw,438.4750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAB 7 MtCraw,,VK2RAB 7,
164,VK2RAD 7 SHill,438.6500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAD 7 SHill,,VK2RAD 7,
165,VK2RAO 7 Cbolas,438.7250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAO 7 Cbolas,,VK2RAO 7,
166,VK2RAY 7 Albury,438.5750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RAY 7 Albury,,VK2RAY 7,
167,VK2RBK 7 NomTop,439.9000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RBK 7 NomTop,,VK2RBK 7,
168,VK2RCW 7 Lindsy,439.3000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RCW 7 Lindsy,,VK2RCW 7,
169,VK2RDD 7 Burroway Hill,439.9500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RDD 7 Burroway Hill,,VK2RDD 7,
170,VK2RGN 7 MtGray,438.3250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RGN 7 MtGray,,VK2RGN 7,
171,VK2RGNA7 Goulburn,438.6250,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RGNA7 Goulburn,,VK2RGNA7,
172,VK2RGNB7 MtGray,439.9500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RGNB7 MtGray,,VK2RGNB7,
173,VK2RLH 7 Newbridge,439.8500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RLH 7 Newbridge,,VK2RLH 7,
174,VK2RLJ 7 Prishr,438.4500,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RLJ 7 Prishr,,VK2RLJ 7,
