Call,freq,offset,ctcss,type,location,longditude,latitude,height,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank
VK3RWN A,1273.9000,20,,DV,Olinda,145.3642271,-37.85786446,0,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
VK3RWN AD,1298.3000,0,,DV,Olinda,145.3642271,-37.85786446,0,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
VK3RWN B,438.3000,-5.4,,DV,Olinda,145.3642271,-37.85786446,0,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
VK3RWN C,146.9125,-0.6,,DV,Olinda,145.3642271,-37.85786446,0,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
VK3RWU,438.6750,-5,91.5Hz,FM,Mt William,142.603725,-37.29498482,0,QF12hq29ke,867125,241.5,238.2,216820.4,1432060.1,5,
VK3RWU,53.6500,-1,91.5Hz,FM,Mt William,142.603725,-37.29498482,0,QF12hq29ke,867125,241.5,238.2,216820.4,1432060.1,5,
VK3RWZ,146.9500,-0.6,91.5Hz,FM,Mt William,142.601203,-37.29308085,0,QF12hq29dp,867246,241.6,238.2,217094.0,1432075.0,5,
VK3RYV,146.7250,-0.6,,FM,Briarty Hill,145.4762425,-37.73098542,0,QF22rg74dn,672161,228.7,223.1,45584.1,1302907.9,5,
VK3RYV,439.3000,-5,,FM,Briarty Hill,145.4762425,-37.73098542,0,QF22rg74dn,672161,228.7,223.1,45584.1,1302907.9,5,
VK3RZU,439.6750,-5,,DMR,Mt Buller,146.4344096,-37.14642475,0,QF32fu24du,565406,228.6,221.7,149246.6,1201645.5,5,
VK3RZU,439.6750,-5,,FM,Mt Buller,146.4344096,-37.14642475,0,QF32fu24du,565406,228.6,221.7,149246.6,1201645.5,5,
VK4RAG,147.1500,0.6,,FM,Spring Hill,153.0233264,-27.4603396,0,QG62mm29tm,731313,14.2,21.3,1373215.0,45573.5,5,
VK4RAG,438.6250,-5,,FM,Spring Hill,153.0233264,-27.4603396,0,QG62mm29tm,731313,14.2,21.3,1373215.0,45573.5,5,
VK4RAI,146.9000,-0.6,,FM,The Knobby,152.5916327,-27.50226347,0,QG62hl09xk,718035,11.0,18.2,1347475.7,61693.7,5,
VK4RAI,439.3250,-5,91.5Hz,FM,The Knobby,152.5916327,-27.50226347,0,QG62hl09xk,718035,11.0,18.2,1347475.7,61693.7,5,
VK4RAI,439.3250,-5,91.5Hz,P25 (NAC = 293),The Knobby,152.5916327,-27.50226347,0,QG62hl09xk,718035,11.0,18.2,1347475.7,61693.7,5,
VK4RAR,146.7000,-0.6,91.5Hz,FM,Mt Archer,150.5765568,-23.33725543,0,QG56gp99eb,1168732,356.8,1.4,1691720.9,560716.3,5,
VK4RAR,438.2250,-5,91.5Hz,FM,Mt Archer,150.5765568,-23.33725543,0,QG56gp99eb,1168732,356.8,1.4,1691720.9,560716.3,5,
VK4RAS B,439.9500,-5,,DV,Carborough Range,148.3127279,-21.92074782,0,QG48db79ma,1354105,347.1,351.0,1790798.2,814932.6,5,
VK4RAS,146.8750,-0.6,,FM,Carborough Range,148.3127279,-21.92074782,0,QG48db79ma,1354105,347.1,351.0,1790798.2,814932.6,5,
VK4RAT,146.7000,-0.6,,FM,Mt Stuart,146.7806848,-19.34383816,0,QH30jp37ql,1668026,343.6,346.7,2054632.9,1140757.7,5,
VK4RAT,438.2250,-5,91.5Hz,FM,Mt Stuart,146.7806848,-19.34383816,0,QH30jp37ql,1668026,343.6,346.7,2054632.9,1140757.7,5,
VK4RAT,444.250,805.75,,ATV,Mt Stuart,146.7806848,-19.34383816,0,QH30jp37ql,1668026,343.6,346.7,2054632.9,1140757.7,5,
VK4RAT,53.9500,-1,,FM,Mt Stuart,146.7806848,-19.34383816,0,QH30jp37ql,1668026,343.6,346.7,2054632.9,1140757.7,5,
VK4RAX,147.0750,0.6,,FM,Mt Cotton,153.2155683,-27.61725915,0,QG62oj51uu,719094,16.0,23.1,1368409.1,31909.6,5,
VK4RBA,439.9500,-5,123Hz,FM,Sunnybank,153.0607759,-27.61252899,0,QG62mj72hx,715791,14.8,22.0,1360765.5,28557.5,5,
VK4RBD C,146.6375,-0.6,,DV,Blackdown Tableland,149.1168305,-23.77406759,0,QG46nf44af,1137103,349.1,353.7,1605868.2,601832.5,5,
VK4RBD,146.9500,-0.6,91.5Hz,FM,Blackdown Tableland,149.1168305,-23.77406759,0,QG46nf44af,1137103,349.1,353.7,1605868.2,601832.5,5,
VK4RBG,147.8000,-0.6,,FM,Bundaberg,152.4262926,-24.84247743,0,QG65fd17dt,1007337,7.1,12.4,1602321.7,341382.8,5,
VK4RBG,53.7750,-1,,FM,Bundaberg,152.4262926,-24.84247743,0,QG65fd17dt,1007337,7.1,12.4,1602321.7,341382.8,5,
VK4RBK,439.9000,-5,,FM,Tolga,145.4472632,-17.22296332,0,QH22rs36ql,1931711,341.2,343.9,2282329.3,1414479.8,5,
VK4RBM,146.7750,-0.6,91.5Hz,FM,Blue Mountain,148.9678826,-21.60064568,0,QG48lj65du,1377114,350.2,354.1,1837885.8,808374.9,5,
VK4RBM,439.3000,-5,,FM,Blue Mountain,148.9678826,-21.60064568,0,QG48lj65du,1377114,350.2,354.1,1837885.8,808374.9,5,
VK4RBN,147.0000,-0.6,91.5Hz,FM,Mt Glorious,152.7480128,-27.31528699,0,QG62iq94sh,741266,11.9,18.9,1373153.8,68820.7,5,
VK4RBP,147.1000,0.6,,FM,Butchers Creek,145.6994147,-17.31681037,0,QH22uq33wx,1914356,341.9,344.6,2272585.6,1391495.8,5,
VK4RBP,439.7750,-5,,FM,Butchers Creek,145.6994147,-17.31681037,0,QH22uq33wx,1914356,341.9,344.6,2272585.6,1391495.8,5,
VK4RBP,439.9250,-5,,FM,Butchers Creek,145.6994147,-17.31681037,0,QH22uq33wx,1914356,341.9,344.6,2272585.6,1391495.8,5,
VK4RBP,53.7750,-1,,FM,Butchers Creek,145.6994147,-17.31681037,0,QH22uq33wx,1914356,341.9,344.6,2272585.6,1391495.8,5,
VK4RBQ,146.9500,-0.6,91.5Hz,FM,Mt Coot-tha,152.9471176,-27.46317516,0,QG62lm38pu,729307,13.7,20.7,1369051.0,46485.2,5,
VK4RBQ,439.3000,-5,,FM,Mt Coot-tha,152.9471176,-27.46317516,0,QG62lm38pu,729307,13.7,20.7,1369051.0,46485.2,5,
VK4RBR,147.9500,-0.6,,FM,Mt Gravatt,153.0917058,-27.52659402,0,QG62nl13ao,725768,14.9,22.0,1370473.8,38200.8,5,
VK4RBR,438.2750,-5,,FM,Mt Gravatt,153.0917058,-27.52659402,0,QG62nl13ao,725768,14.9,22.0,1370473.8,38200.8,5,
VK4RBR,53.9750,-1,,FM,Mt Gravatt,153.0917058,-27.52659402,0,QG62nl13ao,725768,14.9,22.0,1370473.8,38200.8,5,
VK4RBS,146.8750,-0.6,,FM,Alexandra Hills,153.2315197,-27.54396419,0,QG62ok79sk,727348,16.0,23.0,1376124.7,39877.0,5,
VK4RBS,439.7250,-5,91.5Hz,FM,Alexandra Hills,153.2315197,-27.54396419,0,QG62ok79sk,727348,16.0,23.0,1376124.7,39877.0,5,
VK4RBT,147.8000,-0.6,,FM,Mt Tambourine,153.2152258,-27.92257928,0,QG62ob58tn,686460,16.8,24.2,1339879.8,16258.2,5,
VK4RBU,146.8000,-0.6,,FM,Mt Goonaneman,152.1221314,-25.43309252,0,QG64bn46pb,939133,5.6,11.3,1530069.2,285745.8,5,
VK4RBU,438.7750,-5,,FM,Mt Goonaneman,152.1221314,-25.43309252,0,QG64bn46pb,939133,5.6,11.3,1530069.2,285745.8,5,
VK4RBW,439.7750,-5,,FM,Watalgan,151.9620524,-24.7013388,0,QG55xh51kq,1018655,4.3,9.6,1597829.2,367837.5,5,
VK4RBX C,146.7875,-0.6,,DV,The Knobby,152.5916327,-27.50226347,0,QG62hl09xk,718035,11.0,18.2,1347475.7,61693.7,5,
VK4RBX,146.6375,-0.6,,P25 (NAC = 293),The Knobby,152.5916327,-27.50226347,0,QG62hl09xk,718035,11.0,18.2,1347475.7,61693.7,5,
VK4RBX,438.4250,-5,123Hz,FM,The Knobby,152.5916327,-27.50226347,0,QG62hl09xk,718035,11.0,18.2,1347475.7,61693.7,5,
VK4RBX,53.9250,-1,,FM,The Knobby,152.5916327,-27.50226347,0,QG62hl09xk,718035,11.0,18.2,1347475.7,61693.7,5,
VK4RBY B,438.4500,-5,,DV,Black Mountain,149.0954654,-21.06403938,0,QG48nw14kp,1433993,351.1,354.8,1898738.6,854202.8,5,
VK4RBY C,146.6500,-0.6,,DV,Black Mountain,149.0954654,-21.06403938,0,QG48nw14kp,1433993,351.1,354.8,1898738.6,854202.8,5,
